3037 5311
0	1	0
1	1	1
2	2	0
3	2	2
4	2	1
5	0	0
6	0	0
7	0	2
8	1	0
9	2	2
10	1	0
11	0	1
12	0	1
13	2	2
14	0	0
15	0	0
16	0	0
17	2	0
18	0	0
19	1	1
20	0	1
21	1	0
22	0	2
23	1	2
24	0	0
25	1	0
26	0	0
27	2	0
28	0	1
29	1	2
30	2	2
31	1	2
32	1	1
33	2	2
34	1	1
35	2	0
36	2	2
37	0	1
38	1	1
39	2	2
40	2	2
41	0	2
42	0	1
43	0	1
44	0	1
45	2	1
46	1	0
47	0	1
48	0	2
49	0	2
50	1	0
51	1	1
52	2	0
53	1	0
54	1	0
55	2	0
56	0	2
57	2	0
58	1	0
59	0	2
60	1	2
61	0	0
62	1	0
63	0	1
64	2	2
65	2	0
66	2	0
67	2	0
68	1	0
69	2	2
70	0	0
71	1	1
72	0	2
73	1	1
74	1	0
75	1	0
76	1	1
77	1	2
78	2	0
79	1	0
80	0	1
81	1	2
82	2	0
83	0	1
84	1	1
85	1	0
86	0	0
87	0	0
88	2	1
89	2	1
90	2	0
91	2	2
92	2	2
93	0	0
94	1	0
95	1	0
96	1	0
97	2	1
98	0	0
99	2	0
100	2	1
101	2	0
102	1	1
103	1	2
104	1	1
105	0	2
106	2	0
107	0	2
108	0	2
109	0	0
110	2	0
111	2	1
112	0	2
113	0	1
114	2	0
115	2	1
116	1	2
117	0	2
118	2	0
119	0	1
120	1	1
121	2	0
122	2	2
123	1	2
124	0	2
125	0	2
126	2	2
127	2	1
128	0	1
129	2	2
130	0	1
131	1	2
132	2	2
133	2	0
134	2	2
135	1	1
136	0	2
137	1	1
138	0	2
139	1	2
140	2	2
141	0	2
142	0	2
143	2	0
144	1	2
145	2	0
146	2	1
147	2	2
148	0	0
149	2	2
150	2	0
151	2	1
152	2	0
153	2	0
154	2	0
155	0	0
156	0	0
157	0	2
158	0	1
159	1	0
160	1	0
161	1	1
162	0	2
163	2	1
164	1	1
165	2	1
166	1	2
167	0	0
168	2	2
169	0	2
170	0	2
171	2	1
172	0	0
173	0	2
174	1	0
175	0	2
176	0	0
177	1	2
178	0	1
179	0	2
180	1	1
181	2	2
182	1	0
183	1	1
184	1	2
185	0	0
186	1	1
187	0	1
188	2	2
189	0	0
190	1	1
191	2	2
192	0	2
193	0	2
194	1	2
195	2	2
196	0	1
197	2	2
198	0	1
199	1	2
200	1	2
201	2	0
202	2	2
203	2	0
204	2	0
205	1	2
206	1	1
207	0	0
208	0	2
209	1	2
210	2	2
211	0	1
212	2	0
213	2	1
214	0	0
215	2	1
216	2	0
217	2	0
218	1	0
219	1	2
220	2	2
221	0	0
222	0	0
223	0	0
224	1	2
225	2	0
226	2	1
227	0	1
228	1	0
229	0	1
230	1	2
231	1	0
232	1	0
233	2	2
234	1	1
235	0	2
236	1	0
237	0	1
238	0	2
239	0	2
240	0	1
241	2	1
242	1	1
243	2	0
244	1	2
245	0	1
246	0	1
247	0	1
248	1	2
249	2	1
250	0	0
251	1	0
252	1	2
253	1	2
254	0	2
255	2	2
256	1	0
257	0	0
258	2	2
259	1	1
260	1	0
261	2	1
262	0	2
263	2	1
264	0	0
265	1	2
266	1	2
267	1	1
268	1	0
269	2	1
270	0	0
271	2	1
272	1	2
273	0	1
274	1	2
275	1	2
276	2	0
277	1	1
278	0	0
279	1	2
280	2	1
281	0	0
282	1	2
283	1	0
284	0	0
285	0	1
286	1	1
287	2	2
288	0	2
289	0	2
290	2	0
291	2	2
292	1	1
293	2	1
294	0	1
295	2	0
296	2	1
297	1	0
298	2	1
299	2	2
300	1	2
301	2	2
302	2	0
303	0	2
304	1	2
305	1	0
306	2	2
307	2	0
308	0	1
309	1	0
310	2	0
311	2	1
312	0	2
313	1	2
314	1	2
315	1	2
316	1	0
317	0	2
318	2	2
319	0	2
320	0	0
321	0	2
322	1	2
323	0	2
324	1	0
325	0	2
326	1	0
327	1	0
328	2	2
329	1	2
330	0	1
331	2	0
332	0	2
333	0	1
334	2	0
335	0	0
336	2	0
337	2	2
338	0	0
339	2	2
340	0	0
341	2	1
342	0	2
343	0	0
344	2	0
345	1	2
346	1	0
347	0	0
348	2	2
349	0	1
350	0	2
351	2	2
352	1	0
353	1	1
354	0	1
355	2	0
356	0	1
357	0	0
358	1	0
359	1	1
360	0	0
361	0	2
362	2	1
363	0	0
364	0	1
365	0	2
366	1	1
367	1	1
368	1	1
369	2	2
370	1	0
371	2	1
372	2	1
373	1	2
374	0	2
375	0	2
376	0	2
377	0	2
378	1	1
379	0	1
380	2	2
381	2	0
382	1	1
383	1	0
384	2	1
385	0	2
386	0	0
387	1	2
388	2	1
389	1	1
390	1	1
391	0	2
392	0	0
393	1	2
394	1	0
395	0	2
396	2	2
397	1	2
398	2	0
399	2	0
400	0	0
401	0	1
402	2	1
403	1	2
404	1	2
405	2	1
406	2	1
407	2	0
408	2	1
409	1	1
410	0	1
411	2	1
412	2	2
413	2	2
414	2	2
415	1	1
416	2	2
417	0	1
418	1	0
419	1	2
420	1	2
421	1	1
422	2	2
423	2	2
424	1	1
425	0	1
426	1	0
427	1	1
428	0	2
429	1	0
430	0	0
431	2	0
432	1	2
433	1	1
434	1	2
435	0	2
436	0	2
437	0	2
438	1	2
439	1	2
440	2	2
441	2	2
442	2	2
443	1	0
444	0	2
445	2	1
446	2	0
447	2	0
448	1	1
449	1	1
450	2	2
451	2	2
452	1	0
453	0	0
454	2	0
455	0	0
456	2	1
457	1	1
458	2	2
459	1	0
460	1	1
461	1	0
462	2	2
463	2	2
464	1	2
465	2	2
466	2	2
467	1	0
468	1	2
469	0	0
470	1	0
471	1	2
472	0	2
473	1	1
474	2	0
475	2	2
476	2	0
477	2	0
478	0	2
479	0	1
480	0	2
481	1	2
482	1	0
483	2	0
484	1	1
485	2	2
486	1	1
487	1	0
488	2	2
489	2	0
490	2	1
491	0	0
492	0	1
493	0	0
494	2	1
495	0	1
496	2	1
497	0	0
498	2	1
499	0	2
500	2	2
501	0	2
502	1	1
503	2	1
504	0	1
505	0	2
506	0	1
507	1	0
508	1	2
509	2	2
510	0	1
511	1	2
512	1	2
513	0	0
514	0	2
515	2	0
